iter	Passed	Remaining
0	1	108
1	1	87
2	2	77
3	2	70
4	3	69
5	4	67
6	4	66
7	5	65
8	6	64
9	6	62
10	7	61
11	8	59
12	8	57
13	9	56
14	9	55
15	11	58
16	13	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	55
25	18	53
26	19	52
27	20	51
28	20	51
29	21	50
30	22	49
31	22	48
32	23	47
33	24	46
34	26	48
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	43
41	30	42
42	30	41
43	31	40
44	31	39
45	32	38
46	33	37
47	33	36
48	34	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	38	31
55	39	31
56	40	30
57	40	29
58	41	29
59	42	28
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	45	23
66	46	22
67	46	22
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	50	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	55	13
81	56	12
82	56	11
83	57	10
84	57	10
85	58	9
86	58	8
87	59	8
88	60	7
89	60	6
90	61	6
91	61	5
92	62	4
93	62	4
94	63	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
