iter	Passed	Remaining
0	155	155405
1	158	79182
2	162	54016
3	165	41331
4	169	33761
5	173	28677
6	177	25164
7	180	22335
8	182	20071
9	184	18226
10	186	16734
11	188	15489
12	190	14479
13	193	13594
14	195	12859
15	197	12169
16	199	11534
17	201	10972
18	202	10459
19	204	10011
20	205	9583
21	206	9194
22	208	8837
23	209	8507
24	210	8205
25	210	7902
26	211	7620
27	211	7359
28	212	7116
29	213	6889
30	213	6676
31	214	6476
32	214	6289
33	215	6114
34	215	5948
35	216	5792
36	216	5646
37	217	5507
38	218	5377
39	218	5255
40	219	5137
41	220	5024
42	220	4914
43	221	4809
44	221	4709
45	222	4613
46	222	4521
47	223	4432
48	224	4348
49	224	4266
50	225	4189
51	225	4113
52	226	4041
53	226	3971
54	227	3904
55	227	3839
56	228	3776
57	228	3716
58	229	3658
59	229	3601
60	230	3546
61	230	3494
62	231	3442
63	232	3393
64	232	3345
65	233	3300
66	233	3256
67	234	3213
68	235	3172
69	235	3131
70	236	3090
71	236	3052
72	237	3014
73	237	2977
74	238	2941
75	239	2906
76	239	2871
77	240	2837
78	240	2804
79	241	2772
80	241	2741
81	242	2711
82	242	2678
83	243	2650
84	243	2621
85	244	2594
86	244	2568
87	245	2542
88	245	2516
89	246	2492
90	247	2467
91	247	2443
92	248	2422
93	249	2400
94	249	2377
95	250	2356
96	250	2333
97	251	2312
98	251	2291
99	252	2270
100	252	2250
101	253	2230
102	253	2211
103	254	2192
104	254	2173
105	255	2154
106	256	2136
107	256	2118
108	257	2101
109	257	2085
110	258	2069
111	258	2053
112	259	2036
113	260	2020
114	260	2004
115	261	1989
116	261	1973
117	261	1958
118	262	1943
119	263	1931
120	264	1918
121	264	1904
122	265	1891
123	265	1878
124	266	1865
125	267	1853
126	267	1839
127	268	1826
128	268	1814
129	269	1801
130	269	1789
131	270	1778
132	270	1766
133	271	1754
134	272	1743
135	272	1732
136	273	1721
137	273	1710
138	274	1699
139	274	1688
140	275	1678
141	275	1667
142	276	1656
143	277	1646
144	277	1636
